user,date,rawContent,user_location,verified,followers,created,named_entities,links,hashtags,mentions
"{'username': 'everstylish_7', 'id': 1535255130110451712, 'displayname': 'Esther DS', 'rawDescription': 'Just browsing! \nCurious...Freespirit...\nDabbling in fashion, vocals & art at the same time!\nHobbies: Fashion Therapy, Travel, Music, Baking,Tellybytes(Yrkkh3)', 'renderedDescription': 'Just browsing! \nCurious...Freespirit...\nDabbling in fashion, vocals & art at the same time!\nHobbies: Fashion Therapy, Travel, Music, Baking,Tellybytes(Yrkkh3)', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 6, 10, 13, 39, 3, tzinfo=datetime.timezone.utc), 'followersCount': 35, 'friendsCount': 66, 'statusesCount': 4686, 'favouritesCount': 4655, 'listedCount': 0, 'mediaCount': 318, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1604852519746011136/B5V50TfC_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1535255130110451712/1666897118', 'label': None}",2022-12-26 14:33:07+00:00,medium highlight fan upset bcuz neils death smartly highlighted fan upset bcuz arohi centered track unnecessary #abhira separation plz stop mentioning neil nwits 2late mention abt main reason boycott yrkkh #yrkkh,India,False,35,2022-06-10 13:39:03+00:00,NeilNeilMAIN,https://t.co/BDp6T4SUfG,"#abhira,#yrkkh",
"{'username': 'VinuRao08797752', 'id': 1502159085831012358, 'displayname': '𝒱𝒾𝓃𝓊(𝒜𝒷𝒽𝒾𝒜𝓀𝓈𝒽 𝒳 𝒮𝒽𝒾𝓋𝓊 ℬ𝒶𝒷𝓎)', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 3, 11, 5, 47, 30, tzinfo=datetime.timezone.utc), 'followersCount': 238, 'friendsCount': 182, 'statusesCount': 20518, 'favouritesCount': 40924, 'listedCount': 0, 'mediaCount': 3925, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1607288185243197441/Q5HgaGMc_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1502159085831012358/1671292455', 'label': None}",2022-12-26 14:31:49+00:00,kalraromesh neil ne kya bigada thakisi ko uda dena tha na miss u neil. happy moment cuties shame dkp ruining abhira boycott yrkkh #yrkkh #abhira #harshali #harshadchopda #pranalirathod #paraspriyadarshan #neilbirla #abhimanyubirla #aksharabirla,India,False,238,2022-03-11 05:47:30+00:00,"Neil NeKisikoU NeilYRKKHyrkkh #abhira #,harshadchopda #,PranaliRathodParasPriyadarshanNeilBirlaAbhimanyuBirlaAksharaBirla",https://t.co/vRxbcxThlS,"#yrkkh,#abhira,#harshali,#harshadchopda,#pranalirathod,#paraspriyadarshan,#neilbirla,#abhimanyubirla,#aksharabirla",@KalraRomesh
"{'username': 'Mr_Crockroz18', 'id': 1559421185657835520, 'displayname': 'Shrrriiii 🚩', 'rawDescription': '18th acc...💔', 'renderedDescription': '18th acc...💔', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 8, 16, 6, 6, 23, tzinfo=datetime.timezone.utc), 'followersCount': 1341, 'friendsCount': 667, 'statusesCount': 3461, 'favouritesCount': 3447, 'listedCount': 0, 'mediaCount': 343, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1559422720437530625/tSishymb_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1559421185657835520/1669371713', 'label': None}",2022-12-26 14:31:40+00:00,pathaan biggest comeback film bollywood &amp; @iamsrk biggest nightmare bjp &amp; boycott gang. pathaan mania 30 day,India,False,1341,2022-08-16 06:06:23+00:00,BiggestBollywood &iamsrkBJP &Boycott gang30 DAYS,https://t.co/8ceNjMFFL8,,@iamsrk
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 93, 'friendsCount': 42, 'statusesCount': 5772, 'favouritesCount': 2553, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-26 14:30:26+00:00,bravoo gr8 going amaya sblog yeh kro plss doob maro dkp rip abhira rip yrkkh boycott yrkkh #abhira #yrkkh #harshali #harshadchopda #pranalirathod,India,False,93,2021-11-19 14:11:20+00:00,"BravooAmayakroYRKKHabhira #yrkkhHarshali #HarshadChopda #,PranaliRathod",,"#abhira,#yrkkh,#harshali,#harshadchopda,#pranalirathod",
"{'username': 'MadCrazygirls', 'id': 1440593894694023184, 'displayname': 'Aamaya (Fuck You DKP😠🤬)', 'rawDescription': '🤫🤫🤫🤫🤫', 'renderedDescription': '🤫🤫🤫🤫🤫', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 9, 22, 8, 29, 36, tzinfo=datetime.timezone.utc), 'followersCount': 131, 'friendsCount': 55, 'statusesCount': 11599, 'favouritesCount': 15707, 'listedCount': 0, 'mediaCount': 503, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1581520874305650689/6hkLCX6x_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1440593894694023184/1665899197', 'label': None}",2022-12-26 14:28:19+00:00,"successful hogayi main guy mere ghar mey, mere relatives, mere neighbor jinko ek baar maine force kara tha #yrkkh dekhne ko maine successfully sabke ghar ke @starplus channel ko unsubscribe karwa diya socha na tha ye karna padega par inhone majbur kiya boycott yrkkh #abhira",India,False,131,2021-09-22 08:29:36+00:00,Karayrkkhdekhne koChannel koYRKKHAbhiRa,,"#yrkkh,#abhira",@StarPlus
"{'username': 'Krishna_NITI', 'id': 1109796210615951360, 'displayname': 'Boycott_HinduVirodhi', 'rawDescription': 'हिन्दू राष्ट प्रथम, भगवान कृष्ण की नीति अपनाये - साम ,दाम, दंड, भेद।', 'renderedDescription': 'हिन्दू राष्ट प्रथम, भगवान कृष्ण की नीति अपनाये - साम ,दाम, दंड, भेद।', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2019, 3, 24, 12, 36, 50, tzinfo=datetime.timezone.utc), 'followersCount': 308, 'friendsCount': 479, 'statusesCount': 17257, 'favouritesCount': 74557, 'listedCount': 0, 'mediaCount': 673, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1585515372874457088/6e-QBjA-_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1109796210615951360/1600489953', 'label': None}",2022-12-26 14:27:52+00:00,,India,False,308,2019-03-24 12:36:50+00:00,फर जयममकबतओयहं कयरह,,,
"{'username': 'MadCrazygirls', 'id': 1440593894694023184, 'displayname': 'Aamaya (Fuck You DKP😠🤬)', 'rawDescription': '🤫🤫🤫🤫🤫', 'renderedDescription': '🤫🤫🤫🤫🤫', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 9, 22, 8, 29, 36, tzinfo=datetime.timezone.utc), 'followersCount': 131, 'friendsCount': 55, 'statusesCount': 11599, 'favouritesCount': 15707, 'listedCount': 0, 'mediaCount': 503, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1581520874305650689/6hkLCX6x_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1440593894694023184/1665899197', 'label': None}",2022-12-26 14:26:16+00:00,kasam sey itni baduaye nikal rahi hai na ki mereko samj nahi aa raha itni baduaye leke tum log kish jahanum mey jaoge jo lakho logo ke dilo ke sath khela hai na tumne ush hisab sey toh usey bhi bura nasib hona cahiye @starplus boycott yrkkh #abhira #yrkkh,India,False,131,2021-09-22 08:29:36+00:00,"Kasamhai na kiMerekonahi aa rahameyJo lakhokekhela hai na tumneAbhiRa #,YRKKH",,"#abhira,#yrkkh",@StarPlus
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 93, 'friendsCount': 42, 'statusesCount': 5772, 'favouritesCount': 2553, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-26 14:25:17+00:00,maine zindagi kisi ko kbhi gaali nhi di aaj tag p itni bhar bhar k gaaliyan di hmere frnds ne agr dekh liya paagal ho jayenge tmne kya se kya bna diya mujhe dkp doob maro dkp rip abhira rip yrkkh boycott yrkkh #abhira #yrkkh #harshali #harshadchopda #pranalirathod,India,False,93,2021-11-19 14:11:20+00:00,"Mainekisi kogaali nhiYRKKHabhira #yrkkhHarshali #HarshadChopda #,PranaliRathod",,"#abhira,#yrkkh,#harshali,#harshadchopda,#pranalirathod",
"{'username': 'Abhira143', 'id': 1483127328549093377, 'displayname': 'Mansi', 'rawDescription': 'Big Abhira fan. Glad to have Harshali as Abhira💕', 'renderedDescription': 'Big Abhira fan. Glad to have Harshali as Abhira💕', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 1, 17, 17, 21, 34, tzinfo=datetime.timezone.utc), 'followersCount': 229, 'friendsCount': 76, 'statusesCount': 5870, 'favouritesCount': 3998, 'listedCount': 0, 'mediaCount': 828, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1524088323920343040/F246yGEh_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1483127328549093377/1667672412', 'label': None}",2022-12-26 14:24:28+00:00,boycott yrkkh seperation abhira #yrkkh,India,False,229,2022-01-17 17:21:34+00:00,,https://t.co/PI3yVuCfAh,#yrkkh,
"{'username': 'c_gattu', 'id': 1552057326810570752, 'displayname': 'Abhian/Harshadian', 'rawDescription': 'Abhi/Abhimanyu Birla/Harshad fan, Gen 3 Yrkkh fan, Abhi = Ken', 'renderedDescription': 'Abhi/Abhimanyu Birla/Harshad fan, Gen 3 Yrkkh fan, Abhi = Ken', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 7, 26, 22, 25, 7, tzinfo=datetime.timezone.utc), 'followersCount': 37, 'friendsCount': 111, 'statusesCount': 4606, 'favouritesCount': 3087, 'listedCount': 0, 'mediaCount': 1, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1603911331173863427/2PDdLLOM_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-12-26 14:23:59+00:00,yrkkh #abhira yeh rishta kya kehlata hai? gen1 = love gen2 = love gen3 = ddp boycott yrkkh,India,False,37,2022-07-26 22:25:07+00:00,"yrkkh #,YehDDP",,"#yrkkh,#abhira",
