user,date,rawContent,user_location,verified,followers,created,named_entities,links,hashtags,mentions
"{'username': 'Mounika_3_3', 'id': 1490892061201301504, 'displayname': 'Mounika', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 2, 8, 3, 35, 56, tzinfo=datetime.timezone.utc), 'followersCount': 7, 'friendsCount': 6, 'statusesCount': 1192, 'favouritesCount': 581, 'listedCount': 0, 'mediaCount': 3, 'location': 'Andhra Pradesh, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1490939941483737088/hBrZxWtQ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1490892061201301504/1644302756', 'label': None}",2022-12-26 14:56:18+00:00,boycott yrkkh,"Andhra Pradesh, India",False,7,2022-02-08 03:35:56+00:00,,,,
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 92, 'friendsCount': 41, 'statusesCount': 5750, 'favouritesCount': 2554, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-26 14:55:36+00:00,"yes, abhira maybe new lead couple doob maro dkp rip abhira rip yrkkh boycott yrkkh #abhira #yrkkh #harshali #harshadchopda #pranalirathod",India,False,92,2021-11-19 14:11:20+00:00,"YRKKHabhira #yrkkhHarshali #HarshadChopda #,PranaliRathod",,"#abhira,#yrkkh,#harshali,#harshadchopda,#pranalirathod",
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 92, 'friendsCount': 41, 'statusesCount': 5750, 'favouritesCount': 2554, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-26 14:54:34+00:00,true ye medium biki hui h hum kya kre tagline aisa dikha diya jse hm neil ki death ka shok mna rhe h separation ka koi baat nhi ki doob maro dkp rip abhira rip yrkkh boycott yrkkh #abhira #yrkkh #harshali #harshadchopda #pranalirathod,India,False,92,2021-11-19 14:11:20+00:00,"biki hui h toshok mnakoi baatnhi ki🤡

,YRKKHabhira #yrkkhHarshali #HarshadChopda #,PranaliRathod",https://t.co/OgTbrtGTqx,"#abhira,#yrkkh,#harshali,#harshadchopda,#pranalirathod",
"{'username': 'safeer_ans', 'id': 476037469, 'displayname': 'Safeer Ansari', 'rawDescription': 'Graphic Designer & WordPress Developer | Content Creator | Social Media Graphics | HTML | CSS | Boostrap5', 'renderedDescription': 'Graphic Designer & WordPress Developer | Content Creator | Social Media Graphics | HTML | CSS | Boostrap5', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2012, 1, 27, 18, 10, 33, tzinfo=datetime.timezone.utc), 'followersCount': 42, 'friendsCount': 143, 'statusesCount': 1454, 'favouritesCount': 26609, 'listedCount': 2, 'mediaCount': 318, 'location': 'Mumbai', 'protected': False, 'link': {'text': 'safeeransari.in', 'url': 'https://safeeransari.in', 'tcourl': 'https://t.co/RQVQs3Amu5', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1569315420544319489/lkT0Q2P7_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/476037469/1662980922', 'label': None}",2022-12-26 14:51:26+00:00,nationalist1101 bechare berozgar log kare bhi kya kare. ghar baithe baithe bore hone se achha hai bahar chal ke boycott kar le shayed kuch publicity mil jaye.,Mumbai,False,42,2012-01-27 18:10:33+00:00,kar,,,@Nationalist1101
"{'username': 'MadCrazygirls', 'id': 1440593894694023184, 'displayname': 'Aamaya (Fuck You DKP😠🤬)', 'rawDescription': '🤫🤫🤫🤫🤫', 'renderedDescription': '🤫🤫🤫🤫🤫', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 9, 22, 8, 29, 36, tzinfo=datetime.timezone.utc), 'followersCount': 129, 'friendsCount': 54, 'statusesCount': 11501, 'favouritesCount': 15640, 'listedCount': 0, 'mediaCount': 502, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1581520874305650689/6hkLCX6x_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1440593894694023184/1665899197', 'label': None}",2022-12-26 14:49:43+00:00,"insta wale sathiyo aap log bhi insta par lage rahiye trend ka screenshot, audience ke dispointment tweets, medium article sab dalte rahiye aur tag karte rahiye inka jina haram kardo inhone humko christmas gift diya aab return gift dene ki bari boycott yrkkh #abhira #yrkkh",India,False,129,2021-09-22 08:29:36+00:00,"jina haram kardoChristmaski bari 
,YRKKHAbhiRa #,YRKKH",,"#abhira,#yrkkh",
"{'username': 'imaakib_01', 'id': 1483715077232541698, 'displayname': 'ᴀᴀᴋɪʙ💫', 'rawDescription': '💫ᴅʀᴇᴀᴍ ʙɪɢ, ᴡᴏʀᴋ ʜᴀʀᴅ, sᴛᴀʏ ғᴏᴄᴜsᴇᴅ ᴀɴᴅ ʟɪᴠᴇ ᴀ ʟɪғᴇ ɴᴏ ᴏɴᴇ ᴄᴀɴ ᴇᴠᴇɴ ᴛʜɪɴᴋ ᴏғ. ✨', 'renderedDescription': '💫ᴅʀᴇᴀᴍ ʙɪɢ, ᴡᴏʀᴋ ʜᴀʀᴅ, sᴛᴀʏ ғᴏᴄᴜsᴇᴅ ᴀɴᴅ ʟɪᴠᴇ ᴀ ʟɪғᴇ ɴᴏ ᴏɴᴇ ᴄᴀɴ ᴇᴠᴇɴ ᴛʜɪɴᴋ ᴏғ. ✨', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 1, 19, 8, 17, 9, tzinfo=datetime.timezone.utc), 'followersCount': 550, 'friendsCount': 566, 'statusesCount': 11796, 'favouritesCount': 17763, 'listedCount': 0, 'mediaCount': 408, 'location': 'Maharashtra kolhapur ', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1586334553508978688/n4ZSUt8X_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1483715077232541698/1667046110', 'label': None}",2022-12-26 14:48:28+00:00,boycott wale gang bhi sochte honge ye diwar hilti kyu nahi #srkians pathaan mania 30 day,Maharashtra kolhapur,False,550,2022-01-19 08:17:09+00:00,Diwarkyu nahi30 DAY,,#srkians,
"{'username': 'priti17112003', 'id': 1597570103763091457, 'displayname': 'priti', 'rawDescription': 'Instagram ID   @pri_ti1711', 'renderedDescription': 'Instagram ID   @pri_ti1711', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 11, 29, 12, 37, 29, tzinfo=datetime.timezone.utc), 'followersCount': 1, 'friendsCount': 14, 'statusesCount': 435, 'favouritesCount': 806, 'listedCount': 0, 'mediaCount': 7, 'location': 'मुंबई, भारत', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1606906433563688961/gkJehigU_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-12-26 14:47:00+00:00,abhirayrkkh mujhe toh lagta hai march band hoga show jaise hi 4000 episode ho jayenge tabhi marker itna jaldi sab kar rahe hai ya phir gen4 layenge #yrkkh #abhira boycott yrrkh,", ",False,1,2022-11-29 12:37:29+00:00,March4000itna jaldikarhai ya phirgen4yrkkh #,,"#yrkkh,#abhira",@abhirayrkkh
"{'username': 'Crazy4Harshali', 'id': 1461698555555377152, 'displayname': 'Crazy(Fuck you DKP - RIP ABHIRA)', 'rawDescription': 'Crazy 4 Abhira', 'renderedDescription': 'Crazy 4 Abhira', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 11, 19, 14, 11, 20, tzinfo=datetime.timezone.utc), 'followersCount': 92, 'friendsCount': 41, 'statusesCount': 5750, 'favouritesCount': 2554, 'listedCount': 0, 'mediaCount': 404, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1602126028402753537/BPL3Woyt_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1461698555555377152/1669216671', 'label': None}",2022-12-26 14:45:28+00:00,"so, piya bawri bring pregnancy, miscarriage n separation n fool beleive finally fulfilled demand doob maro dkp rip abhira rip yrkkh boycott yrkkh #abhira #yrkkh #harshali #harshadchopda #pranalirathod dkp:",India,False,92,2021-11-19 14:11:20+00:00,"YRKKHabhira #yrkkhHarshali #HarshadChopda #,",https://t.co/KO02pd6rgd,"#abhira,#yrkkh,#harshali,#harshadchopda,#pranalirathod",
"{'username': 'Mounika_3_3', 'id': 1490892061201301504, 'displayname': 'Mounika', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 2, 8, 3, 35, 56, tzinfo=datetime.timezone.utc), 'followersCount': 7, 'friendsCount': 6, 'statusesCount': 1192, 'favouritesCount': 581, 'listedCount': 0, 'mediaCount': 3, 'location': 'Andhra Pradesh, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1490939941483737088/hBrZxWtQ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1490892061201301504/1644302756', 'label': None}",2022-12-26 14:45:18+00:00,#abhira maker r u ruined boycott yrkkh,"Andhra Pradesh, India",False,7,2022-02-08 03:35:56+00:00,,,#abhira,
"{'username': 'MadCrazygirls', 'id': 1440593894694023184, 'displayname': 'Aamaya (Fuck You DKP😠🤬)', 'rawDescription': '🤫🤫🤫🤫🤫', 'renderedDescription': '🤫🤫🤫🤫🤫', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 9, 22, 8, 29, 36, tzinfo=datetime.timezone.utc), 'followersCount': 129, 'friendsCount': 54, 'statusesCount': 11501, 'favouritesCount': 15640, 'listedCount': 0, 'mediaCount': 502, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1581520874305650689/6hkLCX6x_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1440593894694023184/1665899197', 'label': None}",2022-12-26 14:45:01+00:00,loveholly_wood @starplus aab kitna mention kare kal sey mention hi kiye ja rahe hai boycott yrkkh #abhira #yrkkh,India,False,129,2021-09-22 08:29:36+00:00,"Kare kalhai 
BOYCOTTYRKKHAbhiRa #,YRKKH",,"#abhira,#yrkkh","@loveholly_wood,@StarPlus"
"{'username': 'MadCrazygirls', 'id': 1440593894694023184, 'displayname': 'Aamaya (Fuck You DKP😠🤬)', 'rawDescription': '🤫🤫🤫🤫🤫', 'renderedDescription': '🤫🤫🤫🤫🤫', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 9, 22, 8, 29, 36, tzinfo=datetime.timezone.utc), 'followersCount': 129, 'friendsCount': 54, 'statusesCount': 11501, 'favouritesCount': 15640, 'listedCount': 0, 'mediaCount': 502, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1581520874305650689/6hkLCX6x_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1440593894694023184/1665899197', 'label': None}",2022-12-26 14:44:35+00:00,audience @starplus dkp @kalraromesh right boycott yrkkh #abhira #yrkkh sar kya mere samne aajao salo main tumko hi phod dungi. tum logo ne mera dil thod main tumko kaha kaha sey thodungi phodungi agle 7 janam mey bhi samj nahi aayega,India,False,129,2021-09-22 08:29:36+00:00,"AudienceAbhiRa #,YRKKHSalodungiTumnahi aayega 
",https://t.co/3Qvzn1NOch,"#abhira,#yrkkh","@StarPlus,@KalraRomesh"
"{'username': 'ShreedharMudig3', 'id': 1269902598087168005, 'displayname': 'As You Like It', 'rawDescription': 'Serious, love for education', 'renderedDescription': 'Serious, love for education', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2020, 6, 8, 8, 2, 52, tzinfo=datetime.timezone.utc), 'followersCount': 23, 'friendsCount': 88, 'statusesCount': 2563, 'favouritesCount': 909, 'listedCount': 0, 'mediaCount': 17, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1528227054667214848/gAEqTLey_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-12-26 14:42:29+00:00,nationalist1101 boycott pathan,India,False,23,2020-06-08 08:02:52+00:00,Boycott Pathan,,,@Nationalist1101
