user,date,rawContent,user_location,verified,followers,created
"{'username': 'aanchal2you', 'id': 942911911, 'displayname': 'womanosaurus', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2012, 11, 12, 5, 53, 2, tzinfo=datetime.timezone.utc), 'followersCount': 14, 'friendsCount': 230, 'statusesCount': 980, 'favouritesCount': 115, 'listedCount': 0, 'mediaCount': 0, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/3371893798/34aef7cdcc31bdea29b05d1351e8e808_normal.jpeg', 'profileBannerUrl': None, 'label': None}",2013-04-18 09:12:58+00:00,we should boycott those malls which do not have adequate safety measures. #bangaloreblast @ndtv  @ShashiTharoor @IndiaToday,,False,14,2012-11-12 05:53:02+00:00
"{'username': 'TripKaFunda', 'id': 66156585, 'displayname': 'BakedThoughts', 'rawDescription': 'Manga junkie|Widely acknowledged cynic | Man Utd fan| Crazy about football and pot| Judgemental prick', 'renderedDescription': 'Manga junkie|Widely acknowledged cynic | Man Utd fan| Crazy about football and pot| Judgemental prick', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2009, 8, 16, 17, 50, 4, tzinfo=datetime.timezone.utc), 'followersCount': 134, 'friendsCount': 583, 'statusesCount': 889, 'favouritesCount': 305, 'listedCount': 2, 'mediaCount': 10, 'location': 'Mumbai', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/3315431485/b0ecb0b274fc4bdf7b3d0f0804597358_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/66156585/1352628830', 'label': None}",2013-04-18 06:35:03+00:00,"@shat90 How cool that would be. "" passengers boycott rickshaw travel.  Demand cap on age limit. "" #Headlines #TomorrowsNewsToday",Mumbai,False,134,2009-08-16 17:50:04+00:00
"{'username': 'toongamerz', 'id': 236924653, 'displayname': 'Rahul Singh', 'rawDescription': ""Building the world's future Mixed Reality product - JioGlass | Editor - Hello Gaming | Startup Mentor | Founder of 3 startups | Product Enthusiastic"", 'renderedDescription': ""Building the world's future Mixed Reality product - JioGlass | Editor - Hello Gaming | Startup Mentor | Founder of 3 startups | Product Enthusiastic"", 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2011, 1, 11, 17, 41, 3, tzinfo=datetime.timezone.utc), 'followersCount': 594, 'friendsCount': 267, 'statusesCount': 4466, 'favouritesCount': 599, 'listedCount': 38, 'mediaCount': 244, 'location': 'Incredible India', 'protected': False, 'link': {'text': 'download.poolking.in/hc4J1rvMd6', 'url': 'https://download.poolking.in/hc4J1rvMd6', 'tcourl': 'https://t.co/BjS1VXjGmm', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1113040755352854528/6WTQa5IX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/236924653/1648126846', 'label': None}",2013-04-15 04:03:53+00:00,"Baidu, Hillhouse &amp; GGV Reportedly Invest $57M In Qunar As The Chinese Travel Site Weathers A Boycott http://t.co/5tx2CmuBrA",Incredible India,False,594,2011-01-11 17:41:03+00:00
