user,date,rawContent,user_location,verified,followers,created
"{'username': 'foxwolfstrot', 'id': 1398492261646692352, 'displayname': 'foxwolfstrot', 'rawDescription': 'Business grad                                         🛫 aviation in soul coffee in my mug !', 'renderedDescription': 'Business grad                                         🛫 aviation in soul coffee in my mug !', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 5, 29, 4, 12, 6, tzinfo=datetime.timezone.utc), 'followersCount': 119, 'friendsCount': 274, 'statusesCount': 2387, 'favouritesCount': 3743, 'listedCount': 0, 'mediaCount': 350, 'location': '', 'protected': False, 'link': {'text': 'secret.cooo.me/b128f8a5f', 'url': 'https://secret.cooo.me/b128f8a5f', 'tcourl': 'https://t.co/ZlAwNl95mD', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1606180238014046208/dUA0fK0n_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1398492261646692352/1652862893', 'label': None}",2022-06-05 21:33:47+00:00,"Politically motivated religiously spoiled India !
Now people want to boycott all the airlines from Arabic countries !",,False,119,2021-05-29 04:12:06+00:00
"{'username': 'india97sm', 'id': 2645618581, 'displayname': 'S', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2014, 7, 14, 14, 37, 59, tzinfo=datetime.timezone.utc), 'followersCount': 177, 'friendsCount': 987, 'statusesCount': 12598, 'favouritesCount': 46667, 'listedCount': 1, 'mediaCount': 633, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1603338836603334656/erIKjLKI_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2645618581/1657674845', 'label': None}",2022-06-05 18:17:42+00:00,"@TapasNiyama @Vkworld2122 More than that we need to boycott Rana, zubair, wire n co",India,False,177,2014-07-14 14:37:59+00:00
"{'username': 'deepakjsingh', 'id': 45349237, 'displayname': 'Deepak J Singh', 'rawDescription': 'Somewhat Tech Savy,Newsholic,Football fanatic (MUFC),love old style Rock.Loves to read and watch https://t.co/pgMrWLDrZY and endorse secular liberal values.', 'renderedDescription': 'Somewhat Tech Savy,Newsholic,Football fanatic (MUFC),love old style Rock.Loves to read and watch movies.Support and endorse secular liberal values.', 'descriptionLinks': [{'text': 'movies.Support', 'url': 'http://movies.Support', 'tcourl': 'https://t.co/pgMrWLDrZY', 'indices': (97, 120)}], 'verified': False, 'created': datetime.datetime(2009, 6, 7, 14, 39, 38, tzinfo=datetime.timezone.utc), 'followersCount': 790, 'friendsCount': 2572, 'statusesCount': 39716, 'favouritesCount': 20742, 'listedCount': 11, 'mediaCount': 144, 'location': 'Union of India. ', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/464777038/Deepak_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/45349237/1447577090', 'label': None}",2022-06-05 18:02:41+00:00,@AryavarthThe Boycott jobs in Arab countries. Exports?,Union of India. ,False,790,2009-06-07 14:39:38+00:00
"{'username': 'Mohith7022', 'id': 1327899496534052866, 'displayname': 'Mohith 🖤', 'rawDescription': 'KICCHA SUDEEP 😎😇', 'renderedDescription': 'KICCHA SUDEEP 😎😇', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2020, 11, 15, 9, 1, 40, tzinfo=datetime.timezone.utc), 'followersCount': 965, 'friendsCount': 1538, 'statusesCount': 159836, 'favouritesCount': 314360, 'listedCount': 6, 'mediaCount': 1122, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1575404455126007809/cXcW_262_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1327899496534052866/1664440720', 'label': None}",2022-06-05 15:47:54+00:00,"@AtrijKasera @KicchaSudeep Pehele tum logo ka films ko support karo bhai, phir ana boycott karne ko",,False,965,2020-11-15 09:01:40+00:00
"{'username': 'bisnuprasadacha', 'id': 591069091, 'displayname': 'The Perennial Nomad', 'rawDescription': 'ଓଡ଼ିଆ, Railwaymen by profession,Nature lover, 100%original species ,Food lover,A cup of tea anytime!', 'renderedDescription': 'ଓଡ଼ିଆ, Railwaymen by profession,Nature lover, 100%original species ,Food lover,A cup of tea anytime!', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2012, 5, 26, 16, 42, 46, tzinfo=datetime.timezone.utc), 'followersCount': 79, 'friendsCount': 673, 'statusesCount': 2131, 'favouritesCount': 10024, 'listedCount': 1, 'mediaCount': 39, 'location': 'Kharagpur, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1523199305137356800/ZUIUahz-_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-06-05 15:39:37+00:00,"@GormentDr Absolutely  sir but a nice way to bend them is noncoperation and economical, financial boycott  !","Kharagpur, India",False,79,2012-05-26 16:42:46+00:00
"{'username': 'earthkitchen', 'id': 1419865766493495297, 'displayname': 'Arati Venkat', 'rawDescription': ""People may hate you for being different and not living by society's standards, but deep down, they wish they had the courage to do the same."", 'renderedDescription': ""People may hate you for being different and not living by society's standards, but deep down, they wish they had the courage to do the same."", 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 7, 27, 3, 42, 48, tzinfo=datetime.timezone.utc), 'followersCount': 148, 'friendsCount': 214, 'statusesCount': 3159, 'favouritesCount': 4498, 'listedCount': 1, 'mediaCount': 65, 'location': 'Bangalore, India', 'protected': False, 'link': {'text': 'earthkitchen.in', 'url': 'http://earthkitchen.in', 'tcourl': 'https://t.co/bpdzpyAiax', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1419866124460597250/kSq_N_lb_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1419865766493495297/1636948814', 'label': None}",2022-06-05 15:15:22+00:00,"@abbasrazvi Haven't seen one, but boycott of goods etc will happen. This backlash was waiting to happen...just see the anti bjp venom here, it's shocking!","Bangalore, India",False,148,2021-07-27 03:42:48+00:00
"{'username': 'ashraffi_syed', 'id': 1103982490102902784, 'displayname': 'Syed Yaseen Ashraffi سید یاسین اشرفی', 'rawDescription': 'scholar', 'renderedDescription': 'scholar', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2019, 3, 8, 11, 35, 11, tzinfo=datetime.timezone.utc), 'followersCount': 31, 'friendsCount': 174, 'statusesCount': 289, 'favouritesCount': 8121, 'listedCount': 0, 'mediaCount': 13, 'location': 'Karnataka, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1188655077956829184/5YWHDD8S_normal.jpg', 'profileBannerUrl': None, 'label': None}",2022-06-05 14:44:02+00:00,@zoo_bear Aur sath hi sath TV Debates ko Boycott karna parhega.,"Karnataka, India",False,31,2019-03-08 11:35:11+00:00
"{'username': 'sherigara', 'id': 951863113875308544, 'displayname': 'Prashant Sherigara#EqualRightsToHindus#OnlySaffron', 'rawDescription': 'Bharat Mata ki Jai, Vande Mataram, Jai Hindi\n#VoteForBJP #MISSION450Plus in 2024 #MissionHinduRashtra2022\n#TeamSafforn. @vijaygoeloffice  follows me', 'renderedDescription': 'Bharat Mata ki Jai, Vande Mataram, Jai Hindi\n#VoteForBJP #MISSION450Plus in 2024 #MissionHinduRashtra2022\n#TeamSafforn. @vijaygoeloffice  follows me', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2018, 1, 12, 17, 7, 5, tzinfo=datetime.timezone.utc), 'followersCount': 1655, 'friendsCount': 2298, 'statusesCount': 124305, 'favouritesCount': 79778, 'listedCount': 0, 'mediaCount': 1082, 'location': 'Akhand Bharat', 'protected': False, 'link': {'text': 'devimahakalicentre.co.in', 'url': 'https://www.devimahakalicentre.co.in/', 'tcourl': 'https://t.co/I96jVbipQu', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1449233044892635142/Q7JdUAme_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/951863113875308544/1582305195', 'label': None}",2022-06-05 14:11:26+00:00,@AnuNaganathan Only boycott,Akhand Bharat,False,1655,2018-01-12 17:07:05+00:00
"{'username': 'conradbeckham', 'id': 246411389, 'displayname': 'Conrad Barreto', 'rawDescription': 'Venue Manager U17 @FIFAWWC | Social, Food & Travel Influencer | Football Strategist @tfdo_ | President @lfcgoa #LFC | From Paradise - #GOA 🇮🇳', 'renderedDescription': 'Venue Manager U17 @FIFAWWC | Social, Food & Travel Influencer | Football Strategist @tfdo_ | President @lfcgoa #LFC | From Paradise - #GOA 🇮🇳', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2011, 2, 2, 18, 57, 35, tzinfo=datetime.timezone.utc), 'followersCount': 2990, 'friendsCount': 2210, 'statusesCount': 44038, 'favouritesCount': 22834, 'listedCount': 49, 'mediaCount': 5244, 'location': 'Goa, India', 'protected': False, 'link': {'text': 'instagram.com/conradbeckham', 'url': 'http://instagram.com/conradbeckham', 'tcourl': 'https://t.co/dBjm5Xm70h', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1570475457879080960/4zp7z0Gy_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/246411389/1652672792', 'label': None}",2022-06-05 13:03:51+00:00,"Wow it took one tweet from @zoo_bear exposing BJP spokespersons spreading Communal Hate in India, to trend in Arab Countries who decided to boycott Indian Products.

BJP have now suspended their Spokepersons. Massive L 😂","Goa, India",False,2990,2011-02-02 18:57:35+00:00
"{'username': 'dr_simanchalla', 'id': 3241010856, 'displayname': 'Dr.S.Ranjit ସିମାଞ୍ଚଳ ରଣଜିତ', 'rawDescription': 'Advocate, Orissa High Court, Ph.D. Believe in Humanism and Compassion. RTs not endorsements.', 'renderedDescription': 'Advocate, Orissa High Court, Ph.D. Believe in Humanism and Compassion. RTs not endorsements.', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2015, 6, 10, 6, 11, 21, tzinfo=datetime.timezone.utc), 'followersCount': 1662, 'friendsCount': 3606, 'statusesCount': 124709, 'favouritesCount': 207623, 'listedCount': 10, 'mediaCount': 90, 'location': 'Cuttack, Odisha, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1593291561793884160/x2XEiX8M_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/3241010856/1509639687', 'label': None}",2022-06-05 12:18:09+00:00,"@romanaisarkhan @narendramodi Speaking more than required. Due to boycott, he is managing headlines... She will be given big post like that tejaswi surya...","Cuttack, Odisha, India",False,1662,2015-06-10 06:11:21+00:00
