user,date,rawContent,user_location,verified,followers,created
"{'username': 'PraveenaRaj16', 'id': 1240995832666574849, 'displayname': 'Praveena Raj', 'rawDescription': 'Chemical science faculty', 'renderedDescription': 'Chemical science faculty', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2020, 3, 20, 13, 37, 45, tzinfo=datetime.timezone.utc), 'followersCount': 210, 'friendsCount': 322, 'statusesCount': 27990, 'favouritesCount': 61031, 'listedCount': 0, 'mediaCount': 294, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1367913606155706371/FmS8gEa8_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1240995832666574849/1611906251', 'label': None}",2020-08-30 16:39:05+00:00,"Who gave u Rights to point on his personal matters ... n I  suggest u to watch ""SANJU "" Movie ... evrything vl b cleared. .. n it's Rashami's Respect n love fr Sanjay Sir... n he has done dis movie coz it is his profession ... watch or boycott it's Ur vsh  but dutt sir fan's vl..",,False,210,2020-03-20 13:37:45+00:00
"{'username': 'vidya2durga', 'id': 3360346102, 'displayname': 'Vidya Rashil', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2015, 7, 5, 10, 6, 19, tzinfo=datetime.timezone.utc), 'followersCount': 22, 'friendsCount': 31, 'statusesCount': 774, 'favouritesCount': 513, 'listedCount': 0, 'mediaCount': 7, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1294906886135799808/x7ymFvJw_normal.jpg', 'profileBannerUrl': None, 'label': None}",2020-08-30 16:32:21+00:00,@Harshil_Rathod_ @ArnabOfficial07 @arnabofficial7 True sir. We should boycott all starkids commercial. India is unemployed because rich becomes richer and poor becomes poorer. Let the opportunity be for everyone,,False,22,2015-07-05 10:06:19+00:00
"{'username': 'PravinK23481429', 'id': 1141745499948617728, 'displayname': 'Pravin Kumar', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2019, 6, 20, 16, 31, 54, tzinfo=datetime.timezone.utc), 'followersCount': 7, 'friendsCount': 4, 'statusesCount': 51, 'favouritesCount': 18, 'listedCount': 0, 'mediaCount': 4, 'location': 'Mumbai, India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1490648464019324932/tTaiJ6VO_normal.jpg', 'profileBannerUrl': None, 'label': None}",2020-08-30 16:16:01+00:00,#IAmSushant ....boycott #Bollywoodmafiya #JusticeForSSR,"Mumbai, India",False,7,2019-06-20 16:31:54+00:00
"{'username': '2k8Dev', 'id': 2795228519, 'displayname': 'Santosh Dev', 'rawDescription': 'Oil & gas professional', 'renderedDescription': 'Oil & gas professional', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2014, 9, 30, 15, 45, 48, tzinfo=datetime.timezone.utc), 'followersCount': 16, 'friendsCount': 80, 'statusesCount': 195, 'favouritesCount': 46, 'listedCount': 0, 'mediaCount': 3, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1301883865309392896/89F6IU2L_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2795228519/1599228277', 'label': None}",2020-08-30 14:08:15+00:00,#IAMSUSHANT Boycott everyone in Bollywood who do not support #justicforSSR.,,False,16,2014-09-30 15:45:48+00:00
"{'username': 'Satishrathod100', 'id': 762714933188591616, 'displayname': 'Satish Rathod', 'rawDescription': 'NATION FIRST 🇮🇳🇮🇳PROUD OF MY NATION🇮🇳🇮🇳BHARAT-HINDUSTAN-INDIA 🇮🇳🇮🇳NATIONALIST 🇮🇳🇮🇳SANATAN DHARMA HINDU🚩🚩HAR HAR MAHADEV-JAI SHREE KRISHNA 🚩🚩', 'renderedDescription': 'NATION FIRST 🇮🇳🇮🇳PROUD OF MY NATION🇮🇳🇮🇳BHARAT-HINDUSTAN-INDIA 🇮🇳🇮🇳NATIONALIST 🇮🇳🇮🇳SANATAN DHARMA HINDU🚩🚩HAR HAR MAHADEV-JAI SHREE KRISHNA 🚩🚩', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2016, 8, 8, 18, 19, 45, tzinfo=datetime.timezone.utc), 'followersCount': 3619, 'friendsCount': 3330, 'statusesCount': 37748, 'favouritesCount': 33357, 'listedCount': 5, 'mediaCount': 1021, 'location': 'India', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1560207796901134343/2Oh57FSb_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/762714933188591616/1573407589', 'label': None}",2020-08-30 13:34:31+00:00,"@nutan_jyot Besides lawfully the concern person should be punished
This is south Indian film,as I learned
For Bollywood simply boycott all KHAN'S films irrespective of good or bad
See Hollywood or regional local films, not made by musli",India,False,3619,2016-08-08 18:19:45+00:00
"{'username': 'myself_ukm', 'id': 3071252268, 'displayname': 'Ujjwal K Mishra', 'rawDescription': 'Entrepreneur || Businessman\n                                                                                          Asort - Community - Entrepreneur', 'renderedDescription': 'Entrepreneur || Businessman\n                                                                                          Asort - Community - Entrepreneur', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2015, 3, 10, 11, 9, 11, tzinfo=datetime.timezone.utc), 'followersCount': 170, 'friendsCount': 46, 'statusesCount': 3371, 'favouritesCount': 103, 'listedCount': 3, 'mediaCount': 2198, 'location': 'Ranchi, India', 'protected': False, 'link': {'text': 'ds.asort.com', 'url': 'http://www.ds.asort.com', 'tcourl': 'https://t.co/lVPs88HAs6', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1343922343446421513/M2wEyIjS_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/3071252268/1609599567', 'label': None}",2020-08-30 13:29:20+00:00,"Arrest the killers......intarogate all suspect brutally..
Boycott bollywood ..  Film dekhni hai to south ki dekho.....

#IAmSushant #ArrestDishaSSRKillers #SushantSinghRajput #iamsushant https://t.co/J5bJjlRiQ1","Ranchi, India",False,170,2015-03-10 11:09:11+00:00
"{'username': 'AakashSky0317', 'id': 1288551178633015297, 'displayname': 'Aakash Sky', 'rawDescription': '♥️🌹🚩Jai Shree Ram 🚩🔱🕉️ Jai Hind 🇮🇳🇮🇳 Ram bhakt 😍😍😍🙏🙏', 'renderedDescription': '♥️🌹🚩Jai Shree Ram 🚩🔱🕉️ Jai Hind 🇮🇳🇮🇳 Ram bhakt 😍😍😍🙏🙏', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2020, 7, 29, 19, 5, 36, tzinfo=datetime.timezone.utc), 'followersCount': 17, 'friendsCount': 239, 'statusesCount': 225, 'favouritesCount': 349, 'listedCount': 0, 'mediaCount': 12, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1306955942739587073/L0uXIlNB_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1288551178633015297/1599638767', 'label': None}",2020-08-30 13:21:17+00:00,"https://t.co/6KqwbtL3u3 We need justice for Shushant ❤️ sir or Bollywood boycott n karan johar Riya Salman Khan, Shushant is friends Sandeep Singh! Come on CBI #IAmSushant",,False,17,2020-07-29 19:05:36+00:00
"{'username': 'jaytirthb', 'id': 2522327720, 'displayname': 'ARVIND BHANDIWAD', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2014, 5, 25, 9, 33, 2, tzinfo=datetime.timezone.utc), 'followersCount': 458, 'friendsCount': 882, 'statusesCount': 13251, 'favouritesCount': 46246, 'listedCount': 0, 'mediaCount': 156, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1579818052257923072/O93UmY3I_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2522327720/1579153152', 'label': None}",2020-08-30 11:53:06+00:00,@OpIndia_com Boycott,,False,458,2014-05-25 09:33:02+00:00
"{'username': 'MukeshC16954106', 'id': 1265363805309026304, 'displayname': 'Mukesh Chaudhary', 'rawDescription': 'Interior designer Mumbai', 'renderedDescription': 'Interior designer Mumbai', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2020, 5, 26, 19, 27, 12, tzinfo=datetime.timezone.utc), 'followersCount': 6, 'friendsCount': 69, 'statusesCount': 163, 'favouritesCount': 332, 'listedCount': 0, 'mediaCount': 10, 'location': 'Mumbai, India', 'protected': False, 'link': {'text': 'finekraftdesigners.com', 'url': 'http://finekraftdesigners.com', 'tcourl': 'https://t.co/l0Ixv4enkU', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1300391024192188416/I5eFNtVk_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1265363805309026304/1599793964', 'label': None}",2020-08-30 11:51:47+00:00,"@ZeeNews @aditi_tyagi @SachinArorra Plz boycott Bollywood Andosmant , this to VICCO labs https://t.co/8S1raQ1VAi","Mumbai, India",False,6,2020-05-26 19:27:12+00:00
"{'username': 'narendrayadavkc', 'id': 1188161767, 'displayname': 'NARENDRA YADAV', 'rawDescription': 'SON, ACCOUNTANT, CONSULTANT', 'renderedDescription': 'SON, ACCOUNTANT, CONSULTANT', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2013, 2, 17, 2, 58, 42, tzinfo=datetime.timezone.utc), 'followersCount': 34, 'friendsCount': 50, 'statusesCount': 5859, 'favouritesCount': 2172, 'listedCount': 1, 'mediaCount': 217, 'location': 'secunderabad', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1280167695997005824/r50YLb1U_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1188161767/1565864797', 'label': None}",2020-08-30 11:37:33+00:00,@AdityaRajKaul @narendramodi India army main nepotism bhi Bollywood ke baad ab inka bhi boycott karo,secunderabad,False,34,2013-02-17 02:58:42+00:00
